piece1,piece2,exactotc_cost,entropicotc_cost
bach-book1-fugue10-eminor,chopin-Waltz-op64-no2-csharpminor,0.0956598213464843,0.0959346216490395
bach-book1-fugue10-eminor,chopin-etude-op10-no4-csharpminor,1.10224601760768e-05,1.09928873592549e-05
bach-book1-fugue10-eminor,chopin-minute-waltz-csharpmajor,0.0373798409555444,0.0382521577048303
bach-book1-fugue10-eminor,chopin-nocturne-no20-csharpminor,0.0383416705118675,0.0389369914176628
bach-book1-fugue10-eminor,chopin-nocturne-op9-no2-dsharpmajor,0.0336805577195638,0.0343954816037242
bach-book1-fugue10-eminor,chopin-piano-sonata-2-op35-3-funeral-march-asharpminor,0.0397569653152685,0.0405455706139356
bach-book1-fugue10-eminor,chopin-prelude04-eminor,0.0517967018766562,0.0521520663055588
bach-book1-fugue10-eminor,chopin-prelude06-bminor,0.036054644429987,0.0368488147142364
bach-book1-fugue10-eminor,chopin-prelude07-amajor,0.0286041640928908,0.0289777682881113
bach-book1-fugue10-eminor,chopin-prelude15-csharpmajor,0.169730898129926,0.170974430123847
bach-book1-fugue10-eminor,chopin-prelude20-cminor,0.00758093372939286,0.00807336873222303
bach-book1-fugue10-eminor,chopin-waltz-op18-grande-brillante-dsharpmajor,0.0407833924231008,0.0412610617946513
bach-book1-fugue10-eminor,mozart-alla-turca-amajor,0.0101121610051805,0.0110360164509966
bach-book1-fugue10-eminor,mozart-horn-concerto4-3-rondo-dsharpmajor,0.0389253316512077,0.0399703624822376
bach-book1-fugue10-eminor,mozart-minuet-and-trio-k1-gmajor,0.00381935584537232,0.00414871458103242
bach-book1-fugue10-eminor,mozart-minuet-k2-fmajor,0.0365337006437428,0.0378770287560191
bach-book1-fugue10-eminor,mozart-osterreichische-bundeshymne-dsharpmajor,0.0349917420571148,0.0356225339554256
bach-book1-fugue10-eminor,mozart-piano-concerto-21-2-piano-solo-cmajor,0.036318928621726,0.0370221628369095
bach-book1-fugue10-eminor,mozart-piano-sonata-k333-movement1-asharpmajor,0.00320603495266809,0.00401999559131821
bach-book1-fugue10-eminor,mozart-sonata-in-cmajor,0.0327460972613748,0.0331641999397407
bach-book1-fugue10-eminor,mozart-symphony40-1-piano-solo-gminor,0.00112871800275667,0.00174360844448987
bach-book1-fugue10-eminor,sor-op31-no3-dmajor,0.039985740029561,0.0409497173607304
bach-book1-fugue10-eminor,sor-op31-no6-eminor,0.0351035951468488,0.0359700515457886
bach-book1-fugue10-eminor,sor-op31-no7-emajor,0.0359280023234766,0.0365183657690872
